year,sdg,doc_concentration_value
1972,1,
1972,2,1.0
1972,3,0.8347107438016528
1972,4,0.8988919667590027
1972,5,
1972,6,0.5
1972,7,
1972,8,1.0
1972,9,0.8347107438016528
1972,10,1.0
1972,11,0.4400000000000001
1972,12,
1972,13,
1972,14,
1972,15,1.0
1972,16,0.8472222222222221
1972,17,1.0
1973,1,
1973,2,1.0
1973,3,
1973,4,0.8545706371191135
1973,5,
1973,6,
1973,7,
1973,8,1.0
1973,9,1.0
1973,10,1.0
1973,11,
1973,12,
1973,13,
1973,14,
1973,15,1.0
1973,16,0.5
1973,17,
1974,1,1.0
1974,2,0.931122448979592
1974,3,1.0
1974,4,0.973338203067933
1974,5,
1974,6,1.0
1974,7,
1974,8,1.0
1974,9,
1974,10,0.5555555555555556
1974,11,0.5555555555555556
1974,12,
1974,13,
1974,14,
1974,15,1.0
1974,16,0.8828125
1974,17,1.0
1975,1,
1975,2,1.0
1975,3,1.0
1975,4,1.0
1975,5,1.0
1975,6,
1975,7,
1975,8,0.5555555555555556
1975,9,1.0
1975,10,1.0
1975,11,0.5
1975,12,
1975,13,1.0
1975,14,
1975,15,1.0
1975,16,0.5555555555555556
1975,17,1.0
1976,1,
1976,2,1.0
1976,3,1.0
1976,4,0.9714345725687881
1976,5,
1976,6,
1976,7,
1976,8,0.3333333333333334
1976,9,1.0
1976,10,0.9002770083102491
1976,11,0.6800000000000002
1976,12,1.0
1976,13,
1976,14,
1976,15,
1976,16,0.9260355029585798
1976,17,1.0
1977,1,1.0
1977,2,1.0
1977,3,0.8472222222222221
1977,4,1.0
1977,5,
1977,6,
1977,7,
1977,8,0.625
1977,9,1.0
1977,10,0.746031746031746
1977,11,0.7618147448015123
1977,12,
1977,13,1.0
1977,14,
1977,15,
1977,16,0.625
1977,17,
1978,1,0.3877551020408163
1978,2,0.4400000000000001
1978,3,1.0
1978,4,0.9524092801903628
1978,5,1.0
1978,6,1.0
1978,7,
1978,8,0.6296296296296298
1978,9,0.8892733564013842
1978,10,0.62890625
1978,11,1.0
1978,12,
1978,13,
1978,14,1.0
1978,15,
1978,16,0.9487534626038783
1978,17,1.0
1979,1,0.6800000000000002
1979,2,0.5555555555555556
1979,3,0.5555555555555556
1979,4,1.0
1979,5,1.0
1979,6,
1979,7,
1979,8,0.7551020408163265
1979,9,1.0
1979,10,0.8310376492194673
1979,11,0.8024691358024691
1979,12,1.0
1979,13,
1979,14,1.0
1979,15,1.0
1979,16,0.8347107438016528
1979,17,1.0
1980,1,0.375
1980,2,1.0
1980,3,0.375
1980,4,0.9629761480954075
1980,5,1.0
1980,6,0.5555555555555556
1980,7,1.0
1980,8,0.9168241965973536
1980,9,0.7083333333333334
1980,10,0.5555555555555556
1980,11,0.3333333333333333
1980,12,1.0
1980,13,1.0
1980,14,
1980,15,0.5
1980,16,1.0
1980,17,1.0
1981,1,0.4285714285714285
1981,2,0.8673469387755102
1981,3,0.625
1981,4,0.9370447450572321
1981,5,1.0
1981,6,0.5555555555555556
1981,7,0.3333333333333333
1981,8,0.7174515235457063
1981,9,0.6800000000000002
1981,10,0.8861340679522498
1981,11,0.8715814506539834
1981,12,
1981,13,
1981,14,
1981,15,0.5
1981,16,1.0
1981,17,0.7222222222222223
1982,1,1.0
1982,2,0.5555555555555556
1982,3,0.6955017301038062
1982,4,1.0
1982,5,1.0
1982,6,1.0
1982,7,1.0
1982,8,0.28
1982,9,1.0
1982,10,0.7222222222222223
1982,11,0.6979591836734695
1982,12,1.0
1982,13,1.0
1982,14,1.0
1982,15,0.8024691358024691
1982,16,0.7222222222222223
1982,17,1.0
1983,1,0.5199999999999999
1983,2,1.0
1983,3,0.625
1983,4,0.9784971644612475
1983,5,0.5
1983,6,1.0
1983,7,1.0
1983,8,0.3061224489795918
1983,9,1.0
1983,10,0.8950617283950617
1983,11,1.0
1983,12,1.0
1983,13,1.0
1983,14,1.0
1983,15,1.0
1983,16,0.8347107438016528
1983,17,1.0
1984,1,0.2839506172839506
1984,2,0.9355555555555555
1984,3,0.9260355029585798
1984,4,0.9669514864769435
1984,5,0.5555555555555556
