time_window,affordability and income constraints,energy transition and efficiency,health and vulnerability,household behaviour and adoption,housing and thermal comfort,welfare and care
1972_1976,158,18,257,37,5,338
1977_1981,252,74,167,75,8,481
1982_1986,247,68,331,72,18,306
1987_1991,293,147,272,52,21,276
1992_1996,772,240,438,215,50,1223
1997_2001,2469,960,1376,466,181,2471
2002_2006,5223,2146,3463,1035,742,4462
2007_2011,8977,5182,5873,2267,1611,7850
2012_2016,15373,11639,13036,3720,3793,13526
2017_2020,13714,14139,16941,4005,5344,13077
2021_2024,15547,20281,25945,4498,5958,14647
