year,sdg,citation_concentration_value
1972,1,
1972,2,
1972,3,
1972,4,
1972,5,
1972,6,
1972,7,
1972,8,
1972,9,
1972,10,
1972,11,
1972,12,
1972,13,
1972,14,
1972,15,
1972,16,
1972,17,
1973,1,
1973,2,
1973,3,
1973,4,
1973,5,
1973,6,
1973,7,
1973,8,
1973,9,
1973,10,
1973,11,
1973,12,
1973,13,
1973,14,
1973,15,
1973,16,
1973,17,
1974,1,
1974,2,
1974,3,
1974,4,
1974,5,
1974,6,
1974,7,
1974,8,
1974,9,
1974,10,
1974,11,
1974,12,
1974,13,
1974,14,
1974,15,
1974,16,
1974,17,
1975,1,
1975,2,
1975,3,
1975,4,
1975,5,
1975,6,
1975,7,
1975,8,
1975,9,
1975,10,
1975,11,
1975,12,
1975,13,
1975,14,
1975,15,
1975,16,
1975,17,
1976,1,
1976,2,
1976,3,
1976,4,
1976,5,
1976,6,
1976,7,
1976,8,
1976,9,
1976,10,
1976,11,
1976,12,
1976,13,
1976,14,
1976,15,
1976,16,
1976,17,
1977,1,
1977,2,
1977,3,
1977,4,
1977,5,
1977,6,
1977,7,
1977,8,
1977,9,
1977,10,
1977,11,
1977,12,
1977,13,
1977,14,
1977,15,
1977,16,
1977,17,
1978,1,
1978,2,
1978,3,
1978,4,
1978,5,
1978,6,
1978,7,
1978,8,
1978,9,
1978,10,
1978,11,
1978,12,
1978,13,
1978,14,
1978,15,
1978,16,
1978,17,
1979,1,
1979,2,
1979,3,
1979,4,
1979,5,
1979,6,
1979,7,
1979,8,
1979,9,
1979,10,
1979,11,
1979,12,
1979,13,
1979,14,
1979,15,
1979,16,
1979,17,
1980,1,
1980,2,
1980,3,
1980,4,
1980,5,
1980,6,
1980,7,
1980,8,
1980,9,
1980,10,
1980,11,
1980,12,
1980,13,
1980,14,
1980,15,
1980,16,
1980,17,
1981,1,
1981,2,
1981,3,
1981,4,
1981,5,
1981,6,
1981,7,
1981,8,
1981,9,
1981,10,
1981,11,
1981,12,
1981,13,
1981,14,
1981,15,
1981,16,
1981,17,
1982,1,
1982,2,
1982,3,
1982,4,
1982,5,
1982,6,
1982,7,
1982,8,
1982,9,
1982,10,
1982,11,
1982,12,
1982,13,
1982,14,
1982,15,
1982,16,
1982,17,
1983,1,
1983,2,
1983,3,
1983,4,
1983,5,
1983,6,
1983,7,
1983,8,
1983,9,
1983,10,
1983,11,
1983,12,
1983,13,
1983,14,
1983,15,
1983,16,
1983,17,
1984,1,
1984,2,
1984,3,
1984,4,
1984,5,
1984,6,
1984,7,
1984,8,
1984,9,
1984,10,
1984,11,
1984,12,
1984,13,
1984,14,
1984,15,
1984,16,
1984,17,
1985,1,
1985,2,
1985,3,
1985,4,
1985,5,
1985,6,
1985,7,
1985,8,
1985,9,
1985,10,
1985,11,
1985,12,
1985,13,
1985,14,
1985,15,
1985,16,
1985,17,
1986,1,
1986,2,
1986,3,
1986,4,
1986,5,
1986,6,
1986,7,
1986,8,
1986,9,
1986,10,
1986,11,
1986,12,
1986,13,
1986,14,
1986,15,
1986,16,
1986,17,
1987,1,
1987,2,
1987,3,
1987,4,
1987,5,
1987,6,
1987,7,
1987,8,
1987,9,
1987,10,
1987,11,
1987,12,
1987,13,
1987,14,
1987,15,
1987,16,
1987,17,
1988,1,
1988,2,
1988,3,
1988,4,
1988,5,
1988,6,
1988,7,
1988,8,
1988,9,
1988,10,
1988,11,
1988,12,
1988,13,
1988,14,
1988,15,
1988,16,
1988,17,
1989,1,
1989,2,
1989,3,
1989,4,
1989,5,
1989,6,
1989,7,
1989,8,
1989,9,
1989,10,
1989,11,
1989,12,
1989,13,
1989,14,
1989,15,
1989,16,
1989,17,
1990,1,
1990,2,
1990,3,
1990,4,
1990,5,
1990,6,
1990,7,
1990,8,
1990,9,
1990,10,
1990,11,
1990,12,
1990,13,
1990,14,
1990,15,
1990,16,
1990,17,
1991,1,
1991,2,
1991,3,
1991,4,
1991,5,
1991,6,
1991,7,
1991,8,
1991,9,
1991,10,
1991,11,
1991,12,
1991,13,
1991,14,
1991,15,
1991,16,
1991,17,
1992,1,
1992,2,
1992,3,
1992,4,
1992,5,
1992,6,
1992,7,
1992,8,
1992,9,
1992,10,
1992,11,
1992,12,
1992,13,
1992,14,
1992,15,
1992,16,
1992,17,
1993,1,
1993,2,
1993,3,
1993,4,
1993,5,
1993,6,
1993,7,
1993,8,
1993,9,
1993,10,
1993,11,
1993,12,
1993,13,
1993,14,
1993,15,
1993,16,
1993,17,
1994,1,
1994,2,
1994,3,
1994,4,
1994,5,
1994,6,
1994,7,
1994,8,
1994,9,
1994,10,
1994,11,
1994,12,
1994,13,
1994,14,
1994,15,
1994,16,
1994,17,
1995,1,
1995,2,
1995,3,
1995,4,
1995,5,
1995,6,
1995,7,
1995,8,
1995,9,
1995,10,
1995,11,
1995,12,
1995,13,
1995,14,
1995,15,
1995,16,
1995,17,
1996,1,
1996,2,
1996,3,
1996,4,
1996,5,
1996,6,
1996,7,
1996,8,
1996,9,
1996,10,
1996,11,
1996,12,
1996,13,
1996,14,
1996,15,
1996,16,
1996,17,
1997,1,
1997,2,
1997,3,
1997,4,
1997,5,
1997,6,
1997,7,
1997,8,
1997,9,
1997,10,
1997,11,
1997,12,
1997,13,
1997,14,
1997,15,
1997,16,
1997,17,
1998,1,
1998,2,
1998,3,
1998,4,
1998,5,
1998,6,
1998,7,
1998,8,
1998,9,
1998,10,
1998,11,
1998,12,
1998,13,
1998,14,
1998,15,
1998,16,
1998,17,
1999,1,
1999,2,
1999,3,
1999,4,
1999,5,
1999,6,
1999,7,
1999,8,
1999,9,
1999,10,
1999,11,
1999,12,
1999,13,
1999,14,
1999,15,
1999,16,
1999,17,
2000,1,
2000,2,
2000,3,
2000,4,
2000,5,
2000,6,
2000,7,
2000,8,
2000,9,
2000,10,
2000,11,
2000,12,
2000,13,
2000,14,
2000,15,
2000,16,1.0
2000,17,
2001,1,0.5147928994082839
2001,2,1.0
2001,3,
2001,4,1.0
2001,5,
2001,6,
2001,7,
2001,8,0.3600000000000001
2001,9,
2001,10,0.5555555555555556
2001,11,
2001,12,
2001,13,
2001,14,
2001,15,
2001,16,
2001,17,
2002,1,0.5078125
2002,2,
2002,3,
2002,4,
2002,5,
2002,6,
2002,7,
2002,8,1.0
2002,9,
2002,10,1.0
2002,11,
2002,12,
2002,13,
2002,14,
2002,15,
2002,16,0.58
2002,17,
2003,1,0.8024691358024691
2003,2,1.0
2003,3,1.0
2003,4,0.5
2003,5,1.0
2003,6,
2003,7,
2003,8,1.0
2003,9,1.0
2003,10,
2003,11,
2003,12,
2003,13,
2003,14,
2003,15,
2003,16,1.0
2003,17,
2004,1,0.6094674556213018
2004,2,0.8643664485425342
2004,3,0.3600000000000001
2004,4,
2004,5,1.0
2004,6,
2004,7,
2004,8,0.5555555555555556
2004,9,
