country,group
Australia,developed
Austria,developed
Belgium,developed
Canada,developed
Croatia,developed
Cyprus,developed
Czech Republic,developed
Denmark,developed
Estonia,developed
Finland,developed
France,developed
Germany,developed
Greece,developed
Hungary,developed
Iceland,developed
Ireland,developed
Israel,developed
Italy,developed
Japan,developed
Latvia,developed
Lithuania,developed
Luxembourg,developed
Malta,developed
Monaco,developed
Netherlands,developed
New Zealand,developed
Norway,developed
Poland,developed
Portugal,developed
San Marino,developed
Singapore,developed
Slovakia,developed
Slovenia,developed
South Korea,developed
Spain,developed
Sweden,developed
Switzerland,developed
UK,developed
USA,developed
Afghanistan,developing
Albania,developing
Angola,developing
Argentina,developing
Armenia,developing
Azerbaijan,developing
Bahamas,developing
Bahrain,developing
Bangladesh,developing
Barbados,developing
Belarus,developing
Belize,developing
Benin,developing
Bhutan,developing
Bolivia,developing
Bosnia and Herzegovina,developing
Botswana,developing
Brazil,developing
Brunei,developing
Bulgaria,developing
Burundi,developing
Cambodia,developing
Cameroon,developing
Cape Verde,developing
Chile,developing
China,developing
Colombia,developing
Costa Rica,developing
Dominican Republic,developing
Egypt,developing
El Salvador,developing
Eswatini,developing
Ethiopia,developing
Fiji,developing
Gambia,developing
Georgia,developing
Ghana,developing
Guatemala,developing
Guinea,developing
Guyana,developing
Haiti,developing
India,developing
Indonesia,developing
Iran,developing
Iraq,developing
Jamaica,developing
Jordan,developing
Kenya,developing
Kiribati,developing
Kosovo,developing
Kyrgyzstan,developing
Laos,developing
Lebanon,developing
Lesotho,developing
Liberia,developing
Malawi,developing
Malaysia,developing
Maldives,developing
Mali,developing
Marshall Islands,developing
Mauritius,developing
Mexico,developing
Micronesia,developing
Moldova,developing
Mongolia,developing
Montenegro,developing
Morocco,developing
Mozambique,developing
Myanmar,developing
Namibia,developing
Nepal,developing
Nicaragua,developing
Nigeria,developing
North Macedonia,developing
Oman,developing
Pakistan,developing
Palau,developing
Palestine,developing
Panama,developing
Papua New Guinea,developing
Paraguay,developing
Peru,developing
Philippines,developing
Qatar,developing
Romania,developing
Russia,developing
Rwanda,developing
Samoa,developing
Saudi Arabia,developing
Senegal,developing
Serbia,developing
Seychelles,developing
Sierra Leone,developing
Solomon Islands,developing
Somalia,developing
South Africa,developing
South Sudan,developing
Sri Lanka,developing
Sudan,developing
Suriname,developing
Taiwan,developing
Tajikistan,developing
Tanzania,developing
Thailand,developing
Timor Leste,developing
Togo,developing
Tonga,developing
Trinidad and Tobago,developing
Tunisia,developing
Turkey,developing
Uganda,developing
Ukraine,developing
United Arab Emirates,developing
Uruguay,developing
Uzbekistan,developing
Vanuatu,developing
Venezuela,developing
Vietnam,developing
Zambia,developing
Zimbabwe,developing
EU,other
IGO,other
