time_window,affordability and income constraints,energy transition and efficiency,health and vulnerability,household behaviour and adoption,housing and thermal comfort,welfare and care
1972_1976,0.1943419434194342,0.022140221402214,0.3161131611316113,0.045510455104551,0.006150061500615,0.4157441574415744
1977_1981,0.23841059602649,0.0700094607379375,0.1579943235572374,0.0709555345316934,0.0075685903500473,0.4550614947965941
1982_1986,0.2370441458733205,0.0652591170825335,0.3176583493282149,0.0690978886756238,0.0172744721689059,0.2936660268714011
1987_1991,0.2761545711592837,0.1385485391140433,0.2563619227144204,0.0490103675777568,0.0197926484448633,0.2601319509896324
1992_1996,0.2627637848876787,0.0816882232811436,0.1490810074880871,0.0731790333560245,0.0170183798502382,0.4162695711368278
1997_2001,0.3116243847027641,0.121166224914805,0.1736715890445538,0.0588161050107282,0.0228448819891455,0.3118768143380033
2002_2006,0.3059574717356921,0.1257102688770429,0.2028586491711089,0.0606291371331497,0.0434655263312049,0.2613789467518013
2007_2011,0.2826511335012594,0.16316120906801,0.1849181360201511,0.0713790931989924,0.0507241813602015,0.2471662468513853
2012_2016,0.2516574721299131,0.1905315369882299,0.2134005598572527,0.0608967538101396,0.062091770753188,0.2214219064612765
2017_2020,0.204016661707825,0.2103391847664385,0.2520232073787563,0.0595804819994049,0.0795001487652484,0.1945403153823267
2021_2024,0.1789562134536581,0.2334476725447764,0.2986440443851006,0.0517749435977715,0.0685805055481375,0.1685966204705557
