Country,macro_share,mechanism_share,governance_share,macro_term_frequency,mechanism_term_frequency,governance_term_frequency,total_term_frequency,blind_spot_index
El Salvador,1.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0
Monaco,0.6666666666666666,0.0,0.3333333333333333,2.0,0.0,1.0,3.0,0.6666666666666666
Oman,0.4999999999999999,0.0172413793103448,0.4827586206896552,29.0,1.0,28.0,58.0,0.4827586206896551
Malaysia,0.4534883720930232,0.0465116279069765,0.5,78.0,8.0,86.0,172.0,0.4069767441860467
Nicaragua,0.4,0.0,0.6,2.0,0.0,3.0,5.0,0.4
Bosnia and Herzegovina,0.3809523809523808,0.0,0.6190476190476191,8.0,0.0,13.0,21.0,0.3809523809523808
Seychelles,0.3043478260869565,0.0289855072463768,0.6666666666666666,21.0,2.0,46.0,69.0,0.2753623188405797
Iraq,0.263157894736842,0.0,0.7368421052631579,10.0,0.0,28.0,38.0,0.263157894736842
Kyrgyzstan,0.25,0.0,0.75,1.0,0.0,3.0,4.0,0.25
Bulgaria,0.32,0.08,0.6,8.0,2.0,15.0,25.0,0.24
Sudan,0.2941176470588235,0.0588235294117647,0.6470588235294118,5.0,1.0,11.0,17.0,0.2352941176470588
Guatemala,0.2307692307692307,0.0,0.7692307692307693,3.0,0.0,10.0,13.0,0.2307692307692307
Bolivia,0.2,0.0,0.8,2.0,0.0,8.0,10.0,0.2
Ivory Coast,0.2,0.0,0.8,1.0,0.0,4.0,5.0,0.2
Paraguay,0.2,0.0,0.8,2.0,0.0,8.0,10.0,0.2
Togo,0.1739130434782608,0.0,0.8260869565217391,4.0,0.0,19.0,23.0,0.1739130434782608
Brunei,0.1666666666666666,0.0,0.8333333333333334,2.0,0.0,10.0,12.0,0.1666666666666666
Somalia,0.1961722488038276,0.0430622009569378,0.7607655502392344,41.0,9.0,159.0,209.0,0.1531100478468898
Micronesia,0.1733333333333333,0.0266666666666666,0.8,13.0,2.0,60.0,75.0,0.14666666666666672
Burundi,0.1428571428571428,0.0,0.8571428571428571,1.0,0.0,6.0,7.0,0.1428571428571428
Malawi,0.15929203539823,0.0176991150442477,0.8230088495575221,36.0,4.0,186.0,226.0,0.1415929203539823
Papua New Guinea,0.2153284671532846,0.07664233576642329,0.708029197080292,59.0,21.0,194.0,274.0,0.1386861313868613
Saudi Arabia,0.1794871794871794,0.0512820512820512,0.7692307692307693,7.0,2.0,30.0,39.0,0.1282051282051282
Fiji,0.1775700934579438,0.0514018691588783,0.7710280373831776,38.0,11.0,165.0,214.0,0.1261682242990655
Bangladesh,0.21875,0.09375,0.6875,14.0,6.0,44.0,64.0,0.125
Argentina,0.2148148148148147,0.1037037037037036,0.6814814814814815,29.0,14.0,92.0,135.0,0.1111111111111111
Jordan,0.1,0.0,0.9,1.0,0.0,9.0,10.0,0.1
Uganda,0.1479802143446001,0.0519373454245671,0.8000824402308326,359.0,126.0,1941.0,2426.0,0.096042868920033
Czech Republic,0.1542416452442158,0.0642673521850896,0.781491002570694,60.0,25.0,304.0,389.0,0.0899742930591262
Nigeria,0.159090909090909,0.0714285714285712,0.7694805194805194,49.0,22.0,237.0,308.0,0.0876623376623378
Cape Verde,0.1428571428571428,0.0571428571428571,0.8,5.0,2.0,28.0,35.0,0.08571428571428569
Albania,0.0833333333333333,0.0,0.9166666666666666,2.0,0.0,22.0,24.0,0.0833333333333333
Ethiopia,0.1495601173020527,0.070381231671554,0.7800586510263929,51.0,24.0,266.0,341.0,0.07917888563049871
Zambia,0.1118421052631578,0.0328947368421051,0.8552631578947368,17.0,5.0,130.0,152.0,0.0789473684210527
Mexico,0.15,0.0735294117647057,0.7764705882352941,51.0,25.0,264.0,340.0,0.07647058823529429
Nepal,0.1269841269841269,0.0507936507936506,0.8222222222222222,40.0,16.0,259.0,315.0,0.0761904761904763
Cameroon,0.0878378378378377,0.0135135135135134,0.8986486486486487,13.0,2.0,133.0,148.0,0.0743243243243243
Estonia,0.1169354838709677,0.0443548387096773,0.8387096774193549,29.0,11.0,208.0,248.0,0.0725806451612904
Guinea,0.1428571428571428,0.0714285714285714,0.7857142857142857,2.0,1.0,11.0,14.0,0.0714285714285714
Taiwan,0.1273584905660376,0.0566037735849056,0.8160377358490566,27.0,12.0,173.0,212.0,0.070754716981132
Sri Lanka,0.1266002844950212,0.0597439544807963,0.813655761024182,89.0,42.0,572.0,703.0,0.06685633001422489
Suriname,0.0666666666666666,0.0,0.9333333333333332,2.0,0.0,28.0,30.0,0.0666666666666666
Lebanon,0.1428571428571427,0.0765306122448978,0.7806122448979592,28.0,15.0,153.0,196.0,0.06632653061224492
Latvia,0.09864603481624751,0.0367504835589941,0.8646034816247582,51.0,19.0,447.0,517.0,0.061895551257253406
Jamaica,0.0916030534351144,0.0305343511450379,0.8778625954198473,24.0,8.0,230.0,262.0,0.06106870229007651
Laos,0.12,0.06,0.82,6.0,3.0,41.0,50.0,0.06
Ghana,0.0861297539149887,0.0268456375838923,0.8870246085011185,77.0,24.0,793.0,894.0,0.0592841163310964
Belgium,0.1184469846275127,0.0595191170674023,0.8220338983050848,601.0,302.0,4171.0,5074.0,0.0589278675601104
Mozambique,0.1058823529411763,0.0470588235294117,0.8470588235294118,9.0,4.0,72.0,85.0,0.0588235294117646
Portugal,0.1228070175438595,0.06491228070175409,0.8122807017543859,70.0,37.0,463.0,570.0,0.057894736842105415
Philippines,0.11888638073739649,0.06170052671181321,0.8194130925507901,158.0,82.0,1089.0,1329.0,0.05718585402558328
Maldives,0.09187279151943459,0.0353356890459362,0.872791519434629,26.0,10.0,247.0,283.0,0.056537102473498385
Mongolia,0.10483870967741919,0.0483870967741934,0.8467741935483871,13.0,6.0,105.0,124.0,0.05645161290322579
Lesotho,0.0555555555555555,0.0,0.9444444444444444,1.0,0.0,17.0,18.0,0.0555555555555555
Senegal,0.054054054054054,0.0,0.945945945945946,2.0,0.0,35.0,37.0,0.054054054054054
Rwanda,0.10451977401129939,0.0536723163841805,0.8418079096045198,37.0,19.0,298.0,354.0,0.05084745762711889
Croatia,0.07,0.02,0.91,7.0,2.0,91.0,100.0,0.05
Cyprus,0.049773755656108504,0.0,0.9502262443438914,11.0,0.0,210.0,221.0,0.049773755656108504
Timor Leste,0.0581395348837209,0.0116279069767441,0.9302325581395348,5.0,1.0,80.0,86.0,0.0465116279069768
Tajikistan,0.0888888888888888,0.0444444444444444,0.8666666666666667,4.0,2.0,39.0,45.0,0.0444444444444444
Vietnam,0.0434782608695652,0.0,0.9565217391304348,1.0,0.0,22.0,23.0,0.0434782608695652
Ukraine,0.0869565217391304,0.0434782608695652,0.8695652173913043,6.0,3.0,60.0,69.0,0.0434782608695652
Switzerland,0.09986320109439109,0.057455540355677,0.8426812585499316,219.0,126.0,1848.0,2193.0,0.04240766073871409
Trinidad and Tobago,0.09206798866855509,0.0509915014164304,0.8569405099150141,65.0,36.0,605.0,706.0,0.04107648725212469
Thailand,0.0849420849420848,0.0463320463320461,0.8687258687258688,22.0,12.0,225.0,259.0,0.0386100386100387
Eswatini,0.0531914893617021,0.0177304964539006,0.9290780141843972,15.0,5.0,262.0,282.0,0.0354609929078015
South Korea,0.1078691423519009,0.07250221043324481,0.8196286472148541,122.0,82.0,927.0,1131.0,0.035366931918656086
Belize,0.07692307692307679,0.0448717948717948,0.8782051282051282,12.0,7.0,137.0,156.0,0.032051282051281986
Finland,0.1164254247954688,0.0849590937696664,0.7986154814348647,185.0,135.0,1269.0,1589.0,0.0314663310258024
Georgia,0.060606060606060594,0.0303030303030303,0.9090909090909092,6.0,3.0,90.0,99.0,0.030303030303030293
Chile,0.0522388059701492,0.0223880597014924,0.9253731343283582,7.0,3.0,124.0,134.0,0.029850746268656803
South Africa,0.07534015517823,0.0465534690205778,0.878106375801192,670.0,414.0,7809.0,8893.0,0.028786686157652203
Ireland,0.10450523393672999,0.07714996240818911,0.8183448036550807,1807.0,1334.0,14150.0,17291.0,0.027355271528540878
North Macedonia,0.0394736842105263,0.0131578947368421,0.9473684210526316,6.0,2.0,144.0,152.0,0.026315789473684202
