Country,category,term_frequency,TopicShare,TopicShare_pct
Afghanistan,Affordability and income constraints,2,0.0096153846153846,0.962
Afghanistan,Energy transition and efficiency,2,0.0096153846153846,0.962
Afghanistan,Governance and planning,162,0.7788461538461539,77.885
Afghanistan,Health and vulnerability,15,0.0721153846153846,7.212
Afghanistan,Household behaviour and adoption,5,0.0240384615384615,2.404
Afghanistan,Housing and thermal comfort,18,0.0865384615384615,8.654
Afghanistan,Welfare and care,4,0.0192307692307692,1.923
Albania,Governance and planning,22,0.9166666666666666,91.667
Albania,Welfare and care,2,0.0833333333333333,8.333
Andorra,Governance and planning,3,1.0,100.0
Angola,Governance and planning,15,1.0,100.0
Argentina,Affordability and income constraints,3,0.0222222222222222,2.222
Argentina,Energy transition and efficiency,4,0.0296296296296296,2.963
Argentina,Governance and planning,92,0.6814814814814815,68.148
Argentina,Health and vulnerability,12,0.0888888888888888,8.889
Argentina,Household behaviour and adoption,4,0.0296296296296296,2.963
Argentina,Housing and thermal comfort,3,0.0222222222222222,2.222
Argentina,Welfare and care,17,0.1259259259259259,12.593
Armenia,Affordability and income constraints,2,0.1111111111111111,11.111
Armenia,Energy transition and efficiency,1,0.0555555555555555,5.556
Armenia,Governance and planning,11,0.6111111111111112,61.111
Armenia,Household behaviour and adoption,2,0.1111111111111111,11.111
Armenia,Welfare and care,2,0.1111111111111111,11.111
Australia,Affordability and income constraints,299,0.0080974949221394,0.81
Australia,Energy transition and efficiency,436,0.0118077183480027,1.181
Australia,Governance and planning,31009,0.8397833446174678,83.978
Australia,Health and vulnerability,1034,0.0280027081922816,2.8
Australia,Household behaviour and adoption,562,0.0152200406228842,1.522
Australia,Housing and thermal comfort,2269,0.0614488828706838,6.145
Australia,Welfare and care,1316,0.0356398104265402,3.564
Austria,Affordability and income constraints,19,0.0048981696313482,0.49
Austria,Energy transition and efficiency,62,0.0159835009022944,1.598
Austria,Governance and planning,3546,0.91415313225058,91.415
Austria,Health and vulnerability,35,0.0090229440577468,0.902
Austria,Household behaviour and adoption,47,0.0121165248775457,1.212
Austria,Housing and thermal comfort,46,0.0118587264758958,1.186
Austria,Welfare and care,124,0.0319670018045888,3.197
Azerbaijan,Energy transition and efficiency,2,0.125,12.5
Azerbaijan,Governance and planning,13,0.8125,81.25
Azerbaijan,Household behaviour and adoption,1,0.0625,6.25
Bahamas,Affordability and income constraints,1,0.0088495575221238,0.885
Bahamas,Governance and planning,102,0.9026548672566372,90.265
Bahamas,Household behaviour and adoption,1,0.0088495575221238,0.885
Bahamas,Housing and thermal comfort,7,0.0619469026548672,6.195
Bahamas,Welfare and care,2,0.0176991150442477,1.77
Bahrain,Energy transition and efficiency,1,0.025,2.5
Bahrain,Governance and planning,37,0.925,92.5
Bahrain,Household behaviour and adoption,2,0.05,5.0
Bangladesh,Governance and planning,44,0.6875,68.75
Bangladesh,Health and vulnerability,7,0.109375,10.938
Bangladesh,Household behaviour and adoption,1,0.015625,1.562
Bangladesh,Housing and thermal comfort,5,0.078125,7.812
Bangladesh,Welfare and care,7,0.109375,10.938
Barbados,Affordability and income constraints,4,0.0327868852459016,3.279
Barbados,Governance and planning,115,0.9426229508196722,94.262
Barbados,Health and vulnerability,1,0.0081967213114754,0.82
Barbados,Household behaviour and adoption,1,0.0081967213114754,0.82
Barbados,Housing and thermal comfort,1,0.0081967213114754,0.82
Belarus,Governance and planning,38,0.9743589743589745,97.436
Belarus,Household behaviour and adoption,1,0.0256410256410256,2.564
Belgium,Affordability and income constraints,48,0.0094599921166732,0.946
Belgium,Energy transition and efficiency,128,0.0252266456444619,2.523
Belgium,Governance and planning,4171,0.8220338983050848,82.203
Belgium,Health and vulnerability,111,0.0218762317698068,2.188
Belgium,Household behaviour and adoption,73,0.0143870713441072,1.439
Belgium,Housing and thermal comfort,53,0.01044540796216,1.045
Belgium,Welfare and care,490,0.0965707528577059,9.657
Belize,Affordability and income constraints,6,0.0384615384615384,3.846
Belize,Governance and planning,137,0.8782051282051282,87.821
Belize,Health and vulnerability,4,0.0256410256410256,2.564
Belize,Household behaviour and adoption,1,0.0064102564102564,0.641
Belize,Welfare and care,8,0.0512820512820512,5.128
Benin,Governance and planning,14,1.0,100.0
Bhutan,Energy transition and efficiency,6,0.0517241379310344,5.172
Bhutan,Governance and planning,92,0.7931034482758621,79.31
Bhutan,Health and vulnerability,9,0.0775862068965517,7.759
Bhutan,Household behaviour and adoption,2,0.0172413793103448,1.724
Bhutan,Housing and thermal comfort,4,0.0344827586206896,3.448
