time_window,category,count,share
1972_1976,affordability and income constraints,158,0.1943419434194342
1972_1976,energy transition and efficiency,18,0.02214022140221402
1972_1976,health and vulnerability,257,0.3161131611316113
1972_1976,household behaviour and adoption,37,0.04551045510455105
1972_1976,housing and thermal comfort,5,0.006150061500615006
1972_1976,welfare and care,338,0.4157441574415744
1977_1981,affordability and income constraints,252,0.23841059602649006
1977_1981,energy transition and efficiency,74,0.07000946073793755
1977_1981,health and vulnerability,167,0.15799432355723747
1977_1981,household behaviour and adoption,75,0.07095553453169347
1977_1981,housing and thermal comfort,8,0.007568590350047304
1977_1981,welfare and care,481,0.45506149479659413
1982_1986,affordability and income constraints,247,0.23704414587332054
1982_1986,energy transition and efficiency,68,0.06525911708253358
1982_1986,health and vulnerability,331,0.31765834932821496
1982_1986,household behaviour and adoption,72,0.0690978886756238
1982_1986,housing and thermal comfort,18,0.01727447216890595
1982_1986,welfare and care,306,0.29366602687140114
1987_1991,affordability and income constraints,293,0.2761545711592837
1987_1991,energy transition and efficiency,147,0.13854853911404336
1987_1991,health and vulnerability,272,0.2563619227144204
1987_1991,household behaviour and adoption,52,0.049010367577756835
1987_1991,housing and thermal comfort,21,0.019792648444863337
1987_1991,welfare and care,276,0.26013195098963243
1992_1996,affordability and income constraints,772,0.2627637848876787
1992_1996,energy transition and efficiency,240,0.08168822328114364
1992_1996,health and vulnerability,438,0.14908100748808714
1992_1996,household behaviour and adoption,215,0.0731790333560245
1992_1996,housing and thermal comfort,50,0.01701837985023826
1992_1996,welfare and care,1223,0.4162695711368278
1997_2001,affordability and income constraints,2469,0.3116243847027641
1997_2001,energy transition and efficiency,960,0.121166224914805
1997_2001,health and vulnerability,1376,0.17367158904455382
1997_2001,household behaviour and adoption,466,0.05881610501072826
1997_2001,housing and thermal comfort,181,0.022844881989145527
1997_2001,welfare and care,2471,0.3118768143380033
2002_2006,affordability and income constraints,5223,0.3059574717356921
2002_2006,energy transition and efficiency,2146,0.12571026887704295
2002_2006,health and vulnerability,3463,0.2028586491711089
2002_2006,household behaviour and adoption,1035,0.06062913713314979
2002_2006,housing and thermal comfort,742,0.04346552633120497
2002_2006,welfare and care,4462,0.2613789467518013
2007_2011,affordability and income constraints,8977,0.2826511335012594
2007_2011,energy transition and efficiency,5182,0.16316120906801007
2007_2011,health and vulnerability,5873,0.18491813602015114
2007_2011,household behaviour and adoption,2267,0.07137909319899244
2007_2011,housing and thermal comfort,1611,0.050724181360201515
2007_2011,welfare and care,7850,0.24716624685138538
2012_2016,affordability and income constraints,15373,0.2516574721299131
2012_2016,energy transition and efficiency,11639,0.1905315369882299
2012_2016,health and vulnerability,13036,0.21340055985725276
2012_2016,household behaviour and adoption,3720,0.060896753810139634
2012_2016,housing and thermal comfort,3793,0.06209177075318808
2012_2016,welfare and care,13526,0.22142190646127655
2017_2020,affordability and income constraints,13714,0.20401666170782506
2017_2020,energy transition and efficiency,14139,0.21033918476643856
2017_2020,health and vulnerability,16941,0.25202320737875633
2017_2020,household behaviour and adoption,4005,0.05958048199940494
2017_2020,housing and thermal comfort,5344,0.07950014876524844
2017_2020,welfare and care,13077,0.1945403153823267
2021_2024,affordability and income constraints,15547,0.1789562134536581
2021_2024,energy transition and efficiency,20281,0.23344767254477647
2021_2024,health and vulnerability,25945,0.2986440443851006
2021_2024,household behaviour and adoption,4498,0.05177494359777154
2021_2024,housing and thermal comfort,5958,0.06858050554813758
2021_2024,welfare and care,14647,0.16859662047055574
