SDG_goal,SDG_goal_label,Year,Country_count,Diffusion_intensity,Diffusion_speed
1,SDG 1: No Poverty,1869,0,0.0,0
1,SDG 1: No Poverty,1872,0,0.0,0
1,SDG 1: No Poverty,1874,0,0.0,0
1,SDG 1: No Poverty,1876,0,0.0,0
1,SDG 1: No Poverty,1890,0,0.0,0
1,SDG 1: No Poverty,1895,0,0.0,0
1,SDG 1: No Poverty,1896,0,0.0,0
1,SDG 1: No Poverty,1898,0,0.0,0
1,SDG 1: No Poverty,1899,0,0.0,0
1,SDG 1: No Poverty,1900,0,0.0,0
1,SDG 1: No Poverty,1902,0,0.0,0
1,SDG 1: No Poverty,1905,0,0.0,0
1,SDG 1: No Poverty,1906,0,0.0,0
1,SDG 1: No Poverty,1907,0,0.0,0
1,SDG 1: No Poverty,1909,0,0.0,0
1,SDG 1: No Poverty,1910,0,0.0,0
1,SDG 1: No Poverty,1911,0,0.0,0
1,SDG 1: No Poverty,1912,0,0.0,0
1,SDG 1: No Poverty,1913,0,0.0,0
1,SDG 1: No Poverty,1914,0,0.0,0
1,SDG 1: No Poverty,1918,1,1.0,1
1,SDG 1: No Poverty,1919,0,0.0,-1
1,SDG 1: No Poverty,1920,0,0.0,0
1,SDG 1: No Poverty,1921,0,0.0,0
1,SDG 1: No Poverty,1922,0,0.0,0
1,SDG 1: No Poverty,1923,0,0.0,0
1,SDG 1: No Poverty,1925,0,0.0,0
1,SDG 1: No Poverty,1928,0,0.0,0
1,SDG 1: No Poverty,1929,0,0.0,0
1,SDG 1: No Poverty,1930,0,0.0,0
1,SDG 1: No Poverty,1931,1,1.0,1
1,SDG 1: No Poverty,1932,0,0.0,-1
1,SDG 1: No Poverty,1933,1,1.0,1
1,SDG 1: No Poverty,1934,0,0.0,-1
1,SDG 1: No Poverty,1935,0,0.0,0
1,SDG 1: No Poverty,1936,0,0.0,0
1,SDG 1: No Poverty,1938,0,0.0,0
1,SDG 1: No Poverty,1939,1,1.0,1
1,SDG 1: No Poverty,1940,0,0.0,-1
1,SDG 1: No Poverty,1941,0,0.0,0
1,SDG 1: No Poverty,1942,0,0.0,0
1,SDG 1: No Poverty,1943,0,0.0,0
1,SDG 1: No Poverty,1944,0,0.0,0
1,SDG 1: No Poverty,1945,0,0.0,0
1,SDG 1: No Poverty,1946,0,0.0,0
1,SDG 1: No Poverty,1947,0,0.0,0
1,SDG 1: No Poverty,1948,0,0.0,0
1,SDG 1: No Poverty,1949,0,0.0,0
1,SDG 1: No Poverty,1950,0,0.0,0
1,SDG 1: No Poverty,1951,0,0.0,0
1,SDG 1: No Poverty,1952,0,0.0,0
1,SDG 1: No Poverty,1953,1,0.3333333333333333,1
1,SDG 1: No Poverty,1954,1,0.5,0
1,SDG 1: No Poverty,1955,1,0.3333333333333333,0
1,SDG 1: No Poverty,1956,0,0.0,-1
1,SDG 1: No Poverty,1957,0,0.0,0
1,SDG 1: No Poverty,1958,0,0.0,0
1,SDG 1: No Poverty,1959,0,0.0,0
1,SDG 1: No Poverty,1960,1,0.3333333333333333,1
1,SDG 1: No Poverty,1961,0,0.0,-1
1,SDG 1: No Poverty,1962,1,0.25,1
1,SDG 1: No Poverty,1963,1,0.25,0
1,SDG 1: No Poverty,1964,0,0.0,-1
1,SDG 1: No Poverty,1965,1,0.3333333333333333,1
1,SDG 1: No Poverty,1966,0,0.0,-1
1,SDG 1: No Poverty,1967,0,0.0,0
1,SDG 1: No Poverty,1968,0,0.0,0
1,SDG 1: No Poverty,1969,1,0.25,1
1,SDG 1: No Poverty,1970,1,1.0,0
1,SDG 1: No Poverty,1971,0,0.0,-1
1,SDG 1: No Poverty,1972,0,0.0,0
1,SDG 1: No Poverty,1973,0,0.0,0
1,SDG 1: No Poverty,1974,1,0.2,1
1,SDG 1: No Poverty,1975,0,0.0,-1
1,SDG 1: No Poverty,1976,0,0.0,0
1,SDG 1: No Poverty,1977,1,0.1666666666666667,1
1,SDG 1: No Poverty,1978,4,0.5714285714285714,3
1,SDG 1: No Poverty,1979,2,0.4,-2
1,SDG 1: No Poverty,1980,3,0.4285714285714285,1
1,SDG 1: No Poverty,1981,3,0.4285714285714285,0
1,SDG 1: No Poverty,1982,1,0.125,-2
1,SDG 1: No Poverty,1983,4,0.5714285714285714,3
1,SDG 1: No Poverty,1984,5,0.625,1
1,SDG 1: No Poverty,1985,3,0.4285714285714285,-2
1,SDG 1: No Poverty,1986,4,0.5,1
1,SDG 1: No Poverty,1987,3,0.5,-1
1,SDG 1: No Poverty,1988,3,0.4285714285714285,0
1,SDG 1: No Poverty,1989,2,0.2222222222222222,-1
1,SDG 1: No Poverty,1990,5,0.625,3
1,SDG 1: No Poverty,1991,7,0.7777777777777778,2
1,SDG 1: No Poverty,1992,6,0.8571428571428571,-1
1,SDG 1: No Poverty,1993,6,0.5454545454545454,0
1,SDG 1: No Poverty,1994,1,0.1,-5
1,SDG 1: No Poverty,1995,4,0.5,3
1,SDG 1: No Poverty,1996,7,0.7,3
1,SDG 1: No Poverty,1997,4,0.2352941176470588,-3
1,SDG 1: No Poverty,1998,7,0.5,3
1,SDG 1: No Poverty,1999,8,0.3333333333333333,1
1,SDG 1: No Poverty,2000,10,0.4166666666666667,2
1,SDG 1: No Poverty,2001,21,0.5833333333333334,11
1,SDG 1: No Poverty,2002,23,0.46,2
1,SDG 1: No Poverty,2003,22,0.4230769230769231,-1
1,SDG 1: No Poverty,2004,24,0.5,2
1,SDG 1: No Poverty,2005,27,0.4909090909090909,3
1,SDG 1: No Poverty,2006,30,0.5555555555555556,3
1,SDG 1: No Poverty,2007,28,0.3888888888888889,-2
1,SDG 1: No Poverty,2008,31,0.4078947368421053,3
1,SDG 1: No Poverty,2009,34,0.3953488372093023,3
1,SDG 1: No Poverty,2010,41,0.4659090909090909,7
1,SDG 1: No Poverty,2011,45,0.4787234042553192,4
1,SDG 1: No Poverty,2012,52,0.5148514851485149,7
1,SDG 1: No Poverty,2013,46,0.4259259259259259,-6
1,SDG 1: No Poverty,2014,51,0.4766355140186916,5
1,SDG 1: No Poverty,2015,47,0.4433962264150944,-4
1,SDG 1: No Poverty,2016,53,0.4416666666666667,6
1,SDG 1: No Poverty,2017,64,0.5289256198347108,11
1,SDG 1: No Poverty,2018,63,0.5163934426229508,-1
1,SDG 1: No Poverty,2019,61,0.4841269841269841,-2
1,SDG 1: No Poverty,2020,59,0.4758064516129032,-2
1,SDG 1: No Poverty,2021,62,0.4881889763779528,3
1,SDG 1: No Poverty,2022,62,0.5344827586206896,0
1,SDG 1: No Poverty,2023,53,0.4308943089430894,-9
1,SDG 1: No Poverty,2024,49,0.4579439252336449,-4
10,SDG 10: Reduced Inequality,1869,0,0.0,0
10,SDG 10: Reduced Inequality,1872,0,0.0,0
10,SDG 10: Reduced Inequality,1874,0,0.0,0
10,SDG 10: Reduced Inequality,1876,0,0.0,0
10,SDG 10: Reduced Inequality,1890,0,0.0,0
10,SDG 10: Reduced Inequality,1895,0,0.0,0
10,SDG 10: Reduced Inequality,1896,0,0.0,0
10,SDG 10: Reduced Inequality,1898,0,0.0,0
10,SDG 10: Reduced Inequality,1899,0,0.0,0
10,SDG 10: Reduced Inequality,1900,0,0.0,0
10,SDG 10: Reduced Inequality,1902,0,0.0,0
10,SDG 10: Reduced Inequality,1905,0,0.0,0
10,SDG 10: Reduced Inequality,1906,0,0.0,0
10,SDG 10: Reduced Inequality,1907,0,0.0,0
10,SDG 10: Reduced Inequality,1909,0,0.0,0
10,SDG 10: Reduced Inequality,1910,0,0.0,0
10,SDG 10: Reduced Inequality,1911,0,0.0,0
10,SDG 10: Reduced Inequality,1912,0,0.0,0
10,SDG 10: Reduced Inequality,1913,0,0.0,0
10,SDG 10: Reduced Inequality,1914,0,0.0,0
10,SDG 10: Reduced Inequality,1918,0,0.0,0
10,SDG 10: Reduced Inequality,1919,0,0.0,0
10,SDG 10: Reduced Inequality,1920,0,0.0,0
10,SDG 10: Reduced Inequality,1921,0,0.0,0
10,SDG 10: Reduced Inequality,1922,0,0.0,0
10,SDG 10: Reduced Inequality,1923,1,1.0,1
10,SDG 10: Reduced Inequality,1925,0,0.0,-1
10,SDG 10: Reduced Inequality,1928,0,0.0,0
10,SDG 10: Reduced Inequality,1929,0,0.0,0
10,SDG 10: Reduced Inequality,1930,0,0.0,0
10,SDG 10: Reduced Inequality,1931,0,0.0,0
10,SDG 10: Reduced Inequality,1932,0,0.0,0
10,SDG 10: Reduced Inequality,1933,0,0.0,0
10,SDG 10: Reduced Inequality,1934,0,0.0,0
10,SDG 10: Reduced Inequality,1935,1,0.5,1
10,SDG 10: Reduced Inequality,1936,1,1.0,0
10,SDG 10: Reduced Inequality,1938,0,0.0,-1
10,SDG 10: Reduced Inequality,1939,0,0.0,0
10,SDG 10: Reduced Inequality,1940,1,1.0,1
10,SDG 10: Reduced Inequality,1941,0,0.0,-1
10,SDG 10: Reduced Inequality,1942,0,0.0,0
10,SDG 10: Reduced Inequality,1943,0,0.0,0
10,SDG 10: Reduced Inequality,1944,0,0.0,0
10,SDG 10: Reduced Inequality,1945,0,0.0,0
10,SDG 10: Reduced Inequality,1946,0,0.0,0
10,SDG 10: Reduced Inequality,1947,0,0.0,0
10,SDG 10: Reduced Inequality,1948,1,0.3333333333333333,1
10,SDG 10: Reduced Inequality,1949,1,0.5,0
10,SDG 10: Reduced Inequality,1950,1,0.5,0
10,SDG 10: Reduced Inequality,1951,1,0.3333333333333333,0
10,SDG 10: Reduced Inequality,1952,0,0.0,-1
10,SDG 10: Reduced Inequality,1953,0,0.0,0
10,SDG 10: Reduced Inequality,1954,0,0.0,0
10,SDG 10: Reduced Inequality,1955,1,0.3333333333333333,1
10,SDG 10: Reduced Inequality,1956,1,0.3333333333333333,0
10,SDG 10: Reduced Inequality,1957,2,1.0,1
